WBAN Number|WMO Number|Call Sign|Climate Division Code|Climate Division State Code|Climate Division Station Code|Name|Location|Address|Latitude|Longitude|Ground Height|Station Height|Barometer Height|Time Zone
03165||EMT||||EL MONTE, CA|El Monte Airport||34.05|-118.02|0|296|0|
03166||FUL||||FULLERTON, CA|FULLERTON MUNICIPAL ARPT||33.52|-117.59|117|96|120|
03167||HHR||||HAWTHORNE, CA|NRTHORP FLD/HATHRN MUNI AP||33.55|-118.2|59|63|62|
03170||P68||||EUREKA, NV|EUREKA||39.36|-116.01|5939|5936|5942|
03171||RAL||||RIVERSIDE, CA|RIVERSIDE MUNICIPAL ARPT||33.57|-117.26|826|831|829|
03174||TOA||||TORRANCE, CA|Zamperine Field Airport||33.48|-118.2|0|103|0|
03177||CRQ||||CARLSBAD, CA|McCLELLAN-PALOMAR AIRPORT||33.08|-117.17|326|328|329|
03178||SDM||||SAN DIEGO, CA|BROWN FIELD MUNICIPAL ARPT||32.34|-116.59|540|524|543|
03179||CNO||||CHINO, CA|CHINO AIRPORT||33.59|-117.38|679|681|682|
03180||POC||||LA VERNE, CA|Brackett Field Airport||34.05|-117.47|0|1011|0|
03181||MMH||||MAMMOTH LAKES, CA|Mammoth Yosemite Airport||37.28|-118.5|0|7128|0|
03183||MHV||||MOJAVE, CA|Mojave Airport||35.04|-118.09|0|2791|0|
03184||DVT||||PHOENIX, AZ|PHOENIX DEER VALLEY ARPT||33.41|-112.05|1455|1476|1458|
03185||FFZ||||MESA, AZ|Falcon Field Airport||33.28|-111.44|0|1394|0|
03192||SDL||||SCOTTSDALE, AZ|SCOTTSDALE AIRPORT||33.37|-111.55|1473|1510|1469|
03195||GCN||||GRAND CANYON, AZ|GRAND CANYON NATL PARK APT||35.57|-112.09|6643|6606|6646|
03196||OLS||||NOGALES, AZ|NOGALES INTERNATIONAL ARPT||31.25|-110.51|3884|3932|3887|
03701||CPK||||NORFOLK, VA|CHESAPEAKE REGIONAL ARPT||36.40|-76.19|0|0|0|
03702||DPL||||KENANSVILLE, NC|DUPLIN COUNTY AIRPORT||35.00|-77.59|0|0|0|
03703||EDE||||EDENTON, NC|NORTHEASTERN REGIONAL ARPT||36.02|-76.34|0|0|0|
03704||EMV||||EMPORIA, VA|EMPORIA-GRENVLE RGNL ARPT||36.41|-77.29|0|0|0|
03705||EYF||||ELIZABETHTOWN, NC|CURTIS L BROWN JR FLD ARPT||34.36|-78.35|0|0|0|
03706||EZF||||FREDRICKSBURG, VA|SHANNON AIRPORT||38.16|-77.27|0|0|0|
03707||FVX||||FARMVILLE, VA|FARMVILLE REGIONAL AIRPORT||37.22|-78.26|0|0|0|
03708||GWW||||GOLDSBORO, NC|GOLDSBORO-WAYNE MUNI ARPT||35.28|-77.58|0|0|0|
03709||HBI||||ASHEBORO, NC|ASHEBORO MUNICIPAL AIRPORT||35.39|-79.54|0|0|0|
03710||HEF||||MANASSAS, VA|MANSAS RGNL/H P DAVS FD AP||38.43|-77.31|0|0|0|
03711||HNZ||||OXFORD, NC|HENDERSON-OXFORD AIRPORT||36.22|-78.32|0|0|0|
03712||HRJ||||ERWIN, NC|HARNETT COUNTY AIRPORT||35.23|-78.44|0|0|0|
03713||JNX||||SMITHFIELD, NC|JOHNSTON COUNTY AIRPORT||35.32|-78.23|0|0|0|
03714||JYO||||LEESBURG, VA|LESSBURG EXECUTIVE AIRPORT||39.05|-77.34|0|0|0|
03715||LKU||||LOUISA, VA|LOUISA CO/FREEMAN FLD ARPT||38.01|-77.58|0|0|0|
03716||MFV||||MELFA, VA|ACCOMACK COUNTY AIRPORT||37.39|-75.46|0|0|0|
03717||OKV||||WINCHESTER, VA|WINCHESTER REGIONAL ARPT||39.08|-78.08|0|0|0|
03718||OMH||||ORANGE, VA|ORANGE COUNTY AIRPORT||38.15|-78.03|0|0|0|
03719||SFQ||||SUFFOLK, VA|SUFFOLK MUNICIPAL AIRPORT||36.41|-76.36|0|0|0|
03720||SOP||||PINEHURST/SOUTHERN PINES, NC|MOORE COUNTY AIRPORT||35.14|-79.23|0|0|0|
